main: меню, главное меню, домой, старт, открыть меню
profile: профиль, анкета, персонаж, мой профиль, кто я
inv: инвентарь, сумка, рюкзак, вещи, предметы
exp: экспедиция, поход, разведка, вылазка, путешествие
dng: подземелье, данж, катакомбы, руины, глубины
shop: магазин, лавка, торговец, покупки, купить
black: чёрный рынок, черный рынок, контрабанда, тайная лавка, подполье
market: рынок, базар, аукцион, торги, обменник
craft: крафт, ремесло, создать, собрать, изготовить
bank: банк, кредит, займ, долг, казна
tasks: задания, задачи, квесты, поручения, миссии
boss: босс, мировой босс, рейд босс, чудовище, великан
pet: питомец, компаньон, спутник, помощник, зверёк
camp: лагерь, афк, отдых, стоянка, привал
clan: клан, стая, гильдия, братство, союз
mail: почта, письма, сообщения, посылки, ящик
top: топ, рейтинг, таблица, лидеры, лучшие
ref: рефералка, приглашения, пригласить, реф, друзья
info: инфо, помощь, правила, справка, команды
pvp: пвп, арена, дуэль, поединок, бой
tal: таланты, навыки, умения, прокачка, дерево талантов
fac: фракция, братство, сторона, орден, фракции
ct: контракты, заказы, контракт, поручения дня, охота
adm: админ, админка, панель владельца, владелец, хозяин
