[1] Полевая кухня: Лесный кусок -> Лесный кусок x2 | Станция: kitchen | Уровень: 1 | Нужно: Вода x2, Малина x1
[2] Полевая кухня: Дымный рулет -> Дымный рулет x1 | Станция: kitchen | Уровень: 1 | Нужно: Ветка x3, Трава x2
[3] Полевая кухня: Пряный пирог -> Пряный пирог x1 | Станция: kitchen | Уровень: 1 | Нужно: Камень x4, Перо x1
[4] Полевая кухня: Сочная похлёбка -> Сочная похлёбка x1 | Станция: kitchen | Уровень: 1 | Нужно: Верёвка x2, Кость x2
[5] Полевая кухня: Тёплый шашлык -> Тёплый шашлык x1 | Станция: kitchen | Уровень: 1 | Нужно: Гриб x3, Кожа x1
[6] Полевая кухня: Ягодный сок -> Ягодный сок x1 | Станция: kitchen | Уровень: 1 | Нужно: Малина x4, Железная руда x2
[7] Полевая кухня: Грибной кусок -> Грибной кусок x1 | Станция: kitchen | Уровень: 1 | Нужно: Трава x2, Кристалл x1
[8] Полевая кухня: Речной рулет -> Речной рулет x1 | Станция: kitchen | Уровень: 1 | Нужно: Перо x3, Клык x2
[9] Полевая кухня: Теневой пирог -> Теневой пирог x1 | Станция: kitchen | Уровень: 2 | Нужно: Кость x4, Толстая шкура x1
[10] Полевая кухня: Янтарная похлёбка -> Янтарная похлёбка x2 | Станция: kitchen | Уровень: 2 | Нужно: Кожа x2, Сталь x2
[11] Полевая кухня: Лесный шашлык -> Лесный шашлык x1 | Станция: kitchen | Уровень: 2 | Нужно: Железная руда x3, Янтарь x1
[12] Полевая кухня: Дымный сок -> Дымный сок x1 | Станция: kitchen | Уровень: 2 | Нужно: Кристалл x4, Лунная пыль x2
[13] Полевая кухня: Пряный кусок -> Пряный кусок x1 | Станция: kitchen | Уровень: 2 | Нужно: Клык x2, Пластина титана x1
[14] Полевая кухня: Сочный рулет -> Сочный рулет x1 | Станция: kitchen | Уровень: 2 | Нужно: Толстая шкура x3, Сердце бури x2
[15] Полевая кухня: Тёплый пирог -> Тёплый пирог x1 | Станция: kitchen | Уровень: 2 | Нужно: Сталь x4, Слеза луны x1
[16] Полевая кухня: Ягодная похлёбка -> Ягодная похлёбка x1 | Станция: kitchen | Уровень: 2 | Нужно: Янтарь x2, Сырой камень x2
[17] Полевая кухня: Грибной шашлык -> Грибной шашлык x1 | Станция: kitchen | Уровень: 3 | Нужно: Лунная пыль x3, Крепкий корень x1
[18] Полевая кухня: Речной сок -> Речной сок x1 | Станция: kitchen | Уровень: 3 | Нужно: Пластина титана x4, Сухой лист x2
[19] Полевая кухня: Теневой кусок -> Теневой кусок x2 | Станция: kitchen | Уровень: 3 | Нужно: Сердце бури x2, Тонкий слиток x1
[20] Полевая кухня: Янтарный рулет -> Янтарный рулет x1 | Станция: kitchen | Уровень: 3 | Нужно: Слеза луны x3, Шероховатый клык x2
[21] Полевая кухня: Лесный пирог -> Лесный пирог x1 | Станция: kitchen | Уровень: 3 | Нужно: Сырой камень x4, Чистый кристалл x1
[22] Полевая кухня: Дымная похлёбка -> Дымная похлёбка x1 | Станция: kitchen | Уровень: 3 | Нужно: Крепкий корень x2, Лунная пластина x2
[23] Полевая кухня: Пряный шашлык -> Пряный шашлык x1 | Станция: kitchen | Уровень: 3 | Нужно: Сухой лист x3, Янтарный шкура x1
[24] Полевая кухня: Сочный сок -> Сочный сок x1 | Станция: kitchen | Уровень: 3 | Нужно: Тонкий слиток x4, Буревой нить x2
[25] Полевая кухня: Тёплый кусок -> Тёплый кусок x1 | Станция: kitchen | Уровень: 4 | Нужно: Шероховатый клык x2, Дикяя пыль x1
[26] Полевая кухня: Ягодный рулет -> Ягодный рулет x1 | Станция: kitchen | Уровень: 4 | Нужно: Чистый кристалл x3, Сырой камень x2
[27] Полевая кухня: Грибной пирог -> Грибной пирог x1 | Станция: kitchen | Уровень: 4 | Нужно: Лунная пластина x4, Крепкий корень x1
[28] Полевая кухня: Речная похлёбка -> Речная похлёбка x2 | Станция: kitchen | Уровень: 4 | Нужно: Янтарный шкура x2, Сухой лист x2
[29] Полевая кухня: Теневой шашлык -> Теневой шашлык x1 | Станция: kitchen | Уровень: 4 | Нужно: Буревой нить x3, Тонкий слиток x1
[30] Полевая кухня: Янтарный сок -> Янтарный сок x1 | Станция: kitchen | Уровень: 4 | Нужно: Дикяя пыль x4, Шероховатый клык x2
[31] Полевая кухня: Лесный кусок -> Лесный кусок x1 | Станция: kitchen | Уровень: 4 | Нужно: Сырой камень x2, Чистый кристалл x1
[32] Полевая кухня: Дымный рулет -> Дымный рулет x1 | Станция: kitchen | Уровень: 4 | Нужно: Крепкий корень x3, Лунная пластина x2
[33] Полевая кухня: Пряный пирог -> Пряный пирог x1 | Станция: kitchen | Уровень: 5 | Нужно: Сухой лист x4, Янтарный шкура x1
[34] Полевая кухня: Сочная похлёбка -> Сочная похлёбка x1 | Станция: kitchen | Уровень: 5 | Нужно: Тонкий слиток x2, Буревой нить x2
